McDuffie	GA	(255, 238, 178)
Glascock	GA	(255, 238, 168)
Jefferson	GA	(255, 238, 158)
Washington	GA	(255, 238, 148)
Johnson	GA	(255, 238, 138)
Treutlen	GA	(255, 238, 128)
Montgomery	GA	(255, 238, 118)
Toombs	GA	(255, 238, 108)
Liberty	GA	(255, 238, 98)
Evans	GA	(255, 238, 88)
Tattnall	GA	(255, 238, 78)
Candler	GA	(255, 238, 68)
Emanuel	GA	(255, 238, 58)
Chatham	GA	(255, 238, 48)
Bryan	GA	(255, 238, 38)
Bulloch	GA	(255, 238, 28)
Jenkins	GA	(255, 238, 18)
Effingham	GA	(255, 238, 8)
Screven	GA	(255, 237, 254)
Burke	GA	(255, 237, 244)
Richmond	GA	(255, 237, 234)
Columbia	GA	(255, 237, 224)
Lincoln	GA	(255, 237, 214)
Elbert	GA	(255, 237, 204)
Madison	GA	(255, 237, 194)
Banks	GA	(255, 237, 184)
Hall	GA	(255, 237, 174)
Lumpkin	GA	(255, 237, 164)
Gilmer	GA	(255, 237, 154)
Fannin	GA	(255, 237, 144)
Union	GA	(255, 237, 134)
White	GA	(255, 237, 124)
Habersham	GA	(255, 237, 114)
Hart	GA	(255, 237, 104)
Franklin	GA	(255, 237, 94)
Stephens	GA	(255, 237, 84)
Kauai	HI	(255, 237, 74)
Honolulu	HI	(255, 237, 64)
Maui	HI	(255, 237, 54)
Hawaii	HI	(255, 237, 44)
Kalawao	HI	(255, 237, 34)
Scott	IA	(255, 237, 24)
Clinton	IA	(255, 237, 14)
Lyon	IA	(255, 237, 4)
Sioux	IA	(255, 236, 250)
Plymouth	IA	(255, 236, 240)
Cherokee	IA	(255, 236, 230)
O Brien	IA	(255, 236, 220)
Osceola	IA	(255, 236, 210)
Dickinson	IA	(255, 236, 200)
Clay	IA	(255, 236, 190)
Buena Vista	IA	(255, 236, 180)
Pocahontas	IA	(255, 236, 170)
Palo Alto	IA	(255, 236, 160)
Emmet	IA	(255, 236, 150)
Kossuth	IA	(255, 236, 140)
Humboldt	IA	(255, 236, 130)
Woodbury	IA	(255, 236, 120)
Ida	IA	(255, 236, 110)
Sac	IA	(255, 236, 100)
Calhoun	IA	(255, 236, 90)
Webster	IA	(255, 236, 80)
Greene	IA	(255, 236, 70)
Carroll	IA	(255, 236, 60)
Crawford	IA	(255, 236, 50)
Monona	IA	(255, 236, 40)
Harrison	IA	(255, 236, 30)
Shelby	IA	(255, 236, 20)
Audubon	IA	(255, 236, 10)
Guthrie	IA	(255, 236, 0)
Adair	IA	(255, 235, 246)
Cass	IA	(255, 235, 236)
Pottawattamie	IA	(255, 235, 226)
Fremont	IA	(255, 235, 216)
Mills	IA	(255, 235, 206)
Montgomery	IA	(255, 235, 196)
Page	IA	(255, 235, 186)
